product_id,locale,craft_summary,cultural_story,meaning_summary,source_note,review_status,reviewed_at,is_demo
prod_demo_007,zh-CN,本方案以青釉色与器形为设计重点，参考图馆藏记录的材质为Stoneware with incised decoration under a celadon glaze。实际制作材质、颜色与细节需在询单阶段确认。,这件十三至十四世纪的龙泉青瓷笔洗采用炻器胎、青釉与刻划莲纹。目录以其展示文房器物与龙泉釉色的结合。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·龙泉青瓷莲纹笔洗”方案。,推荐表达：文化传承、纪念。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/52074；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_007,en,"This concept focuses on celadon glaze and vessel form. The reference image is catalogued with the material description “Stoneware with incised decoration under a celadon glaze”. Final production materials, colour, and details require confirmation.",This thirteenth- to fourteenth-century Longquan brush washer is stoneware with incised lotus decoration beneath a celadon glaze. It represents the connection between scholarly objects and celadon craft. HeritageLink AI translates the reference into the “Heritage-Inspired Brush washer with lotus” gifting concept.,"Suggested meanings: cultural continuity, remembrance. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/52074; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_008,zh-CN,本方案以青釉色与器形为设计重点，参考图馆藏记录的材质为Stoneware with celadon glaze and gold lacquer repairs。实际制作材质、颜色与细节需在询单阶段确认。,这件十三世纪龙泉青瓷茶碗以炻器胎施青釉，并留有金漆修补记录。目录保留这一信息，用于呈现器物的釉色与流传痕迹。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·龙泉青瓷茶碗”方案。,推荐表达：纪念、文化传承、感谢。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/48373；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_008,en,"This concept focuses on celadon glaze and vessel form. The reference image is catalogued with the material description “Stoneware with celadon glaze and gold lacquer repairs”. Final production materials, colour, and details require confirmation.",This thirteenth-century Longquan tea bowl is stoneware with celadon glaze and recorded gold-lacquer repairs. The catalogue retains that detail as part of the object's material history. HeritageLink AI translates the reference into the “Heritage-Inspired Tea bowl” gifting concept.,"Suggested meanings: remembrance, cultural continuity, gratitude. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/48373; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_009,zh-CN,本方案以青釉色与器形为设计重点，参考图馆藏记录的材质为Stoneware with celadon glaze。实际制作材质、颜色与细节需在询单阶段确认。,这件十三世纪龙泉青瓷瓶以新石器时代玉琮形制为灵感，采用炻器胎施青釉。它用于展示传统器形在陶瓷中的转化。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·龙泉青瓷琮式瓶”方案。,推荐表达：文化传承、纪念。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/73676；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_009,en,"This concept focuses on celadon glaze and vessel form. The reference image is catalogued with the material description “Stoneware with celadon glaze”. Final production materials, colour, and details require confirmation.",This thirteenth-century Longquan celadon vase adapts the shape of a Neolithic cong in glazed stoneware. It is included as a reference for translating an earlier ritual form into ceramics. HeritageLink AI translates the reference into the “Heritage-Inspired Quadrangular vase in the shape of a Neolithic cong” gifting concept.,"Suggested meanings: cultural continuity, remembrance. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/73676; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_010,zh-CN,本方案以青釉色与器形为设计重点，参考图馆藏记录的材质为Stoneware with incised decoration under celadon glaze。实际制作材质、颜色与细节需在询单阶段确认。,这件十四世纪晚期至十五世纪早期的龙泉青瓷大盘以刻划牡丹纹装饰。目录用它呈现大尺寸青瓷与花卉纹样的结合。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·龙泉青瓷牡丹纹盘”方案。,推荐表达：和谐、美好祝福、良缘相合。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/42514；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_010,en,"This concept focuses on celadon glaze and vessel form. The reference image is catalogued with the material description “Stoneware with incised decoration under celadon glaze”. Final production materials, colour, and details require confirmation.",This large Longquan celadon dish from the late fourteenth or early fifteenth century carries incised peony decoration. It is a reference for floral design on large celadon forms. HeritageLink AI translates the reference into the “Heritage-Inspired Dish with Peonies” gifting concept.,"Suggested meanings: harmony, good wishes, union. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/42514; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_011,zh-CN,本方案以丝织刺绣纹样与装裱为设计重点，参考图馆藏记录的材质为Silk satin embroidered with silk。实际制作材质、颜色与细节需在询单阶段确认。,这件十八世纪后半叶广州制作的外销帷饰以丝缎为底并用丝线刺绣，馆藏资料注明其面向欧美市场。它用于展示传统刺绣与跨文化贸易的关系。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·广州外销刺绣帷饰”方案。,推荐表达：文化传承、纪念。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/69860；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_011,en,"This concept focuses on silk, embroidery, and mounted textile design. The reference image is catalogued with the material description “Silk satin embroidered with silk”. Final production materials, colour, and details require confirmation.",This Guangzhou export palampore from 1750–1800 is silk satin embroidered with silk and was made for European or American markets. It illustrates the relationship between embroidery and cross-cultural trade. HeritageLink AI translates the reference into the “Heritage-Inspired Chinese Palampore” gifting concept.,"Suggested meanings: cultural continuity, remembrance. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/69860; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_012,zh-CN,本方案以丝织刺绣纹样与装裱为设计重点，参考图馆藏记录的材质为Silk。实际制作材质、颜色与细节需在询单阶段确认。,这件十八至十九世纪中国丝织面料由多块织物拼接构成。目录用它展示历史丝织物的纹样、组合和再利用方式。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·中国丝织拼接面料”方案。,推荐表达：感谢、文化传承。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/461250；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_012,en,"This concept focuses on silk, embroidery, and mounted textile design. The reference image is catalogued with the material description “Silk”. Final production materials, colour, and details require confirmation.","This eighteenth- to nineteenth-century Chinese silk textile is assembled from multiple panels and fragments. It is included as a reference for historic patterning, assembly, and reuse. HeritageLink AI translates the reference into the “Heritage-Inspired Fabric” gifting concept.","Suggested meanings: gratitude, cultural continuity. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/461250; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_013,zh-CN,本方案以丝织刺绣纹样与装裱为设计重点，参考图馆藏记录的材质为Silk and metal thread embroidery on silk satin。实际制作材质、颜色与细节需在询单阶段确认。,这件十八世纪中国挂屏在丝缎上以丝线和金属线刺绣人物主题。馆藏说明将画面与八仙、寿老及祝寿意涵联系起来。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·八仙祝寿刺绣挂屏”方案。,推荐表达：长久安康、美好祝福、文化传承。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/68527；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_013,en,"This concept focuses on silk, embroidery, and mounted textile design. The reference image is catalogued with the material description “Silk and metal thread embroidery on silk satin”. Final production materials, colour, and details require confirmation.","This eighteenth-century Chinese panel uses silk and metal-thread embroidery on silk satin. The museum relates its figures to the Eight Immortals, Shoulao, and birthday wishes. HeritageLink AI translates the reference into the “Heritage-Inspired Panel with immortals” gifting concept.","Suggested meanings: longevity, good wishes, cultural continuity. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/68527; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_014,zh-CN,本方案以丝织刺绣纹样与装裱为设计重点，参考图馆藏记录的材质为Red silk。实际制作材质、颜色与细节需在询单阶段确认。,这件十九世纪晚期至二十世纪早期的中国红绸织物采用重复鹤纹。馆藏说明将鹤纹与长寿象征联系起来，目录据此保留该文化线索。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·鹤纹红绸织物”方案。,推荐表达：长久安康、美好祝福。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/460786；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_014,en,"This concept focuses on silk, embroidery, and mounted textile design. The reference image is catalogued with the material description “Red silk”. Final production materials, colour, and details require confirmation.","This late-nineteenth- to early-twentieth-century Chinese red silk panel has a repeating crane pattern. The museum identifies the crane as a symbol of longevity, a context retained here. HeritageLink AI translates the reference into the “Heritage-Inspired Panel with crane pattern” gifting concept.","Suggested meanings: longevity, good wishes. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/460786; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_015,zh-CN,本方案以丝织刺绣纹样与装裱为设计重点，参考图馆藏记录的材质为Silk embroidery on plain weave silk。实际制作材质、颜色与细节需在询单阶段确认。,这件八世纪早期中国织物在平纹丝织物上以丝线刺绣成对鸟纹。它用于展示早期织绣中的对称构图与动物纹样。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·对鸟纹丝绣织物”方案。,推荐表达：良缘相合、和谐。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/39596；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_015,en,"This concept focuses on silk, embroidery, and mounted textile design. The reference image is catalogued with the material description “Silk embroidery on plain weave silk”. Final production materials, colour, and details require confirmation.",This early-eighth-century Chinese textile uses silk embroidery on plain-weave silk with a pair of confronted birds. It is a reference for symmetry and animal motifs in early embroidery. HeritageLink AI translates the reference into the “Heritage-Inspired Textile with confronted birds” gifting concept.,"Suggested meanings: union, harmony. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/39596; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_016,zh-CN,本方案以玉雕器形与吉祥主题为设计重点，参考图馆藏记录的材质为Jade。实际制作材质、颜色与细节需在询单阶段确认。,馆藏页将此件藏品定名为环形玉龙佩，并将其年代列为公元前三世纪。页面将弯曲成环的龙形和绞绳般凹槽作为主要造型特征；尺寸与细分材质待进一步补充。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·环形玉龙佩”方案。,推荐表达：兴盛祝愿、文化传承。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/39637；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_016,en,"This concept focuses on jade-carving form and auspicious imagery. The reference image is catalogued with the material description “Jade”. Final production materials, colour, and details require confirmation.",The museum identifies this object as a knotted dragon pendant from the third century BCE. Its coiled dragon form and rope-like grooves are the key recorded features; dimensions and a more specific material description remain to be added. HeritageLink AI translates the reference into the “Heritage-Inspired Knotted dragon pendant” gifting concept.,"Suggested meanings: prosperity, cultural continuity. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/39637; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_017,zh-CN,本方案以玉雕器形与吉祥主题为设计重点，参考图馆藏记录的材质为Jade (nephrite)。实际制作材质、颜色与细节需在询单阶段确认。,这组十八至十九世纪中国玉雕以软玉制作十二生肖动物。目录用它展示生肖题材在成组小型玉雕中的表达。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·十二生肖玉雕组”方案。,推荐表达：文化传承、兴盛祝愿。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/42102；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_017,en,"This concept focuses on jade-carving form and auspicious imagery. The reference image is catalogued with the material description “Jade (nephrite)”. Final production materials, colour, and details require confirmation.",This eighteenth- to nineteenth-century Chinese set depicts the twelve zodiac animals in nephrite. It is included as a reference for zodiac themes in small grouped jade carvings. HeritageLink AI translates the reference into the “Heritage-Inspired Twelve animals of the Chinese zodiac” gifting concept.,"Suggested meanings: cultural continuity, prosperity. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/42102; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_018,zh-CN,本方案以玉雕器形与吉祥主题为设计重点，参考图馆藏记录的材质为Jade (nephrite)。实际制作材质、颜色与细节需在询单阶段确认。,这件十八世纪中国白玉盒属于一组香具，以软玉制作。目录用它展示玉雕在成套香事器物中的小型盒式形制。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·白玉香盒”方案。,推荐表达：和谐、美好祝福。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/42154；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_018,en,"This concept focuses on jade-carving form and auspicious imagery. The reference image is catalogued with the material description “Jade (nephrite)”. Final production materials, colour, and details require confirmation.",This eighteenth-century Chinese covered box belongs to an incense set and is carved from nephrite. It is included as a reference for small jade forms within coordinated incense utensils. HeritageLink AI translates the reference into the “Heritage-Inspired Covered box from an incense set” gifting concept.,"Suggested meanings: harmony, good wishes. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/42154; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_019,zh-CN,本方案以玉雕器形与吉祥主题为设计重点，参考图馆藏记录的材质为Jade (nephrite)。实际制作材质、颜色与细节需在询单阶段确认。,这件十八世纪中国带盖香炉以软玉制作，与香盒和小瓶构成一组香具。它用于展示成套玉雕器物的功能与比例关系。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·白玉带盖香炉”方案。,推荐表达：文化传承、纪念。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/42153；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_019,en,"This concept focuses on jade-carving form and auspicious imagery. The reference image is catalogued with the material description “Jade (nephrite)”. Final production materials, colour, and details require confirmation.",This eighteenth-century Chinese covered incense burner is carved from nephrite and forms part of a set with a box and slender vase. It is a reference for function and proportion in coordinated jade objects. HeritageLink AI translates the reference into the “Heritage-Inspired Incense burner with cover” gifting concept.,"Suggested meanings: cultural continuity, remembrance. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/42153; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_020,zh-CN,本方案以玉雕器形与吉祥主题为设计重点，参考图馆藏记录的材质为Jade (nephrite)。实际制作材质、颜色与细节需在询单阶段确认。,这件十八世纪中国软玉雕刻表现童子与水牛。馆藏资料将其置于中国装饰艺术中吉祥象征与视觉双关的传统内，目录据此保留该背景。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·童子水牛玉雕”方案。,推荐表达：兴盛祝愿、美好祝福。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/41918；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_020,en,"This concept focuses on jade-carving form and auspicious imagery. The reference image is catalogued with the material description “Jade (nephrite)”. Final production materials, colour, and details require confirmation.",This eighteenth-century Chinese nephrite carving depicts a boy with a water buffalo. The museum places it within traditions of auspicious symbols and visual puns in Chinese decorative art. HeritageLink AI translates the reference into the “Heritage-Inspired Boy with water buffalo” gifting concept.,"Suggested meanings: prosperity, good wishes. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/41918; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
